no_obs,varenummer,varenavn,Virkestoff,legemiddelform,Styrke,Dose ,ml/dose/day,kg,Doseper kg min,Dose per kilo max,min kg,max kg,min days,max days,min dose,Max dose,Max dose*2,lmp_enhet_pakning_v,Source
1,426160,Ampicillin STADA,Ampicillin,Injeksjon_pulver,1 g,4.4–11 mg/kg,0.044,1,0.044,0.11,40,1300,1,10,1.76,1430,2860,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
4,136334,Ampicillin STADA,Ampicillin,Injeksjon_pulver,2 g,4.4–11 mg/kg,0.044,1,0.044,0.11,40,1300,1,10,1.76,1430,2860,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,348917,Ampicillin VM ratiopharm SA,Ampicillin,NA,2 g,4.4–11 mg/kg,0.044,1,0.044,0.11,40,1300,1,10,1.76,1430,2860,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,222138,Ampicillin-ratiopharm,Ampicillin,Injeksjon_pulver,2 g,4.4–11 mg/kg,0.044,1,0.044,0.11,40,1300,1,10,1.76,1430,2860,g,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,589507,Apocillin,Fenoksymetylpenicillin,Tablett,660 mg,30- 95 mg/kg,0.045,1,0.045,0.14,40,1300,1,10,1.8,1820,3640,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,589465,Apocillin,Fenoksymetylpenicillin,Tablett,165 mg,30- 95 mg/kg,0.18,1,0.18,0.57,40,1300,1,10,7.2,7410,14820,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
1,33729,Apocillin,Fenoksymetylpenicillin,Tablett,1 g,30- 95 mg/kg,0.03,1,0.03,0.095,40,1300,1,10,1.2,1235,2470,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
32,11818,Apocillin,Fenoksymetylpenicillin,Tablett,660 mg,30- 95 mg/kg,0.045,1,0.045,0.57,40,1300,1,10,1.8,7410,14820,stk,https://www.msdvetmanual.com/multimedia/table/dosages-of-penicillins
39,210301,Aquacycline vet,Oksytetrasyklin,Injeksjon,180 mg per 1 ml,5-10 mg pr. kg legemsvægt,1,18,0.06,0.11,40,1300,1,10,2.2,1444,2889,ml,https://xnet.dkma.dk/indlaegsseddel/PdfFileServlet?formulationid=2431&lang=da
6,519493,Bactrim,Sulfametoksazol | Trimetoprim,Oral oppløsning,40 mg per 1 ml | 8 mg per 1 ml,15 mg kg,0.3,1,0.3,,40,1300,1,10,12,3900,7800,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
62,424466,Bactrim,Sulfametoksazol | Trimetoprim,Tablett,400 mg | 80 mg,15 mg kg,0.03,1,0.03,,40,1300,1,10,1.2,390,780,stk,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
12,364639,Bactrim,Sulfametoksazol | Trimetoprim,Infusjon,400 mg per 5 ml | 80 mg per 5 ml,15 mg kg,0.15,1,0.15,,40,1300,1,10,6,1950,3900,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
50,232325,Bactrim,Sulfametoksazol | Trimetoprim,Tablett,400 mg | 80 mg,15 mg kg,0.03,1,0.03,,40,1300,1,10,1.2,390,780,stk,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
8,124511,Bactrim,Sulfametoksazol | Trimetoprim,Oral oppløsning,40 mg per 1 ml | 8 mg per 1 ml,15 mg kg,0.3,1,0.3,,40,1300,1,10,12,3900,7800,ml,https://www.felleskatalogen.no/medisin-vet/borgal-vet-ceva-santee-animale-547049?markering=0
