utleveringstype,varenavn,varenummer,legemiddelform_vi,lmp_enhet_pakning_v,enhet_mengde,lmp_antall,lmp_mengde,lmp_pakningsstr,atc_kode,styrke_nevner_v,styrke_nevner_u,no_obs,is_match,fix_method,fix_value,comment
Utlevering til dyrehold fra apotek m.m.,Zeleris,485224,Injeksjon,ml,mlhgl,1,100,100,QJ01BA99,1,ml,6,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Zeleris,099684,Injeksjon,ml,mlhgl,1,50,50,QJ01BA99,1,ml,2,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Zactran,376742,Injeksjon,ml,mlhgl,1,50,50,QJ01FA95,1,ml,18,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Zactran,376742,Injeksjon,ml,,1,50,50,QJ01FA95,1,ml,1,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Zactran,159386,Injeksjon,ml,mlhgl,1,100,100,QJ01FA95,1,ml,15,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Zactran,159386,Injeksjon,ml,,1,100,100,QJ01FA95,1,ml,1,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Trymox vet,519445,Injeksjon,ml,mlhgl,1,100,100,QJ01CA04,1,ml,2,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Therios vet,598380,Tablett,stk,enpac,1,10,10,QJ01DB01,NA,NA,1,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Therios vet,426070,Tablett,stk,enpac,1,30,30,QJ01DB01,NA,NA,1,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Terramycin vet,531046,Injeksjon,ml,mlhgl,1,100,100,QJ01AA06,1,ml,111,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Terramycin vet,531046,Injeksjon,ml,,1,100,100,QJ01AA06,1,ml,5,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Terramycin vet,287359,Uteritorie,stk,,1,10,10,QG51AA01,NA,NA,1,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Synulox vet,088435,Tablett,stk,enpac,1,10,10,QJ01CR02,NA,NA,30,FALSE,,,
Utlevering til dyrehold fra apotek m.m.,Synulox vet,088419,Tablett,stk,enpac,1,10,10,QJ01CR02,NA,NA,36,FALSE,,,
